timestamp,site_code,line_code,equip_code,kwh,kw_demand,kvarh
2025-09-01 00:00:00,SC01,L1,E01,3.453,4.14,0.886
2025-09-01 01:00:00,SC01,L1,E01,4.617,6.0,1.185
2025-09-01 02:00:00,SC01,L1,E01,4.32,5.643,1.108
2025-09-01 03:00:00,SC01,L1,E01,4.849,3.793,1.244
2025-09-01 04:00:00,SC01,L1,E01,3.759,4.95,0.964
2025-09-01 05:00:00,SC01,L1,E01,5.111,4.463,1.311
2025-09-01 06:00:00,SC01,L1,E01,4.134,3.504,1.061
2025-09-01 07:00:00,SC01,L1,E01,6.321,7.467,1.622
2025-09-01 08:00:00,SC01,L1,E01,2.956,2.494,0.758
2025-09-01 09:00:00,SC01,L1,E01,6.19,3.977,1.588
2025-09-01 10:00:00,SC01,L1,E01,4.146,3.727,1.064
2025-09-01 11:00:00,SC01,L1,E01,4.425,5.21,1.135
2025-09-01 12:00:00,SC01,L1,E01,3.764,3.243,0.966
2025-09-01 13:00:00,SC01,L1,E01,2.992,3.302,0.768
2025-09-01 14:00:00,SC01,L1,E01,3.825,4.314,0.981
2025-09-01 15:00:00,SC01,L1,E01,3.955,4.694,1.015
2025-09-01 16:00:00,SC01,L1,E01,4.393,5.789,1.127
2025-09-01 17:00:00,SC01,L1,E01,5.144,4.867,1.32
2025-09-01 18:00:00,SC01,L1,E01,4.4,3.226,1.129
2025-09-01 19:00:00,SC01,L1,E01,4.414,3.774,1.132
2025-09-01 20:00:00,SC01,L1,E01,4.555,4.308,1.169
2025-09-01 21:00:00,SC01,L1,E01,2.843,3.33,0.729
2025-09-01 22:00:00,SC01,L1,E01,2.917,1.781,0.748
2025-09-01 23:00:00,SC01,L1,E01,3.05,2.6,0.782
2025-09-02 00:00:00,SC01,L1,E01,3.949,4.833,1.013
2025-09-02 01:00:00,SC01,L1,E01,2.75,3.126,0.705
2025-09-02 02:00:00,SC01,L1,E01,3.695,4.381,0.948
2025-09-02 03:00:00,SC01,L1,E01,3.153,3.939,0.809
2025-09-02 04:00:00,SC01,L1,E01,4.637,5.688,1.19
2025-09-02 05:00:00,SC01,L1,E01,4.597,5.267,1.179
2025-09-02 06:00:00,SC01,L1,E01,4.007,3.813,1.028
2025-09-02 07:00:00,SC01,L1,E01,2.727,3.782,0.7
2025-09-02 08:00:00,SC01,L1,E01,4.058,4.282,1.041
2025-09-02 09:00:00,SC01,L1,E01,4.51,3.438,1.157
2025-09-02 10:00:00,SC01,L1,E01,4.896,4.084,1.256
2025-09-02 11:00:00,SC01,L1,E01,5.65,6.525,1.449
2025-09-02 12:00:00,SC01,L1,E01,5.142,6.889,1.319
2025-09-02 13:00:00,SC01,L1,E01,4.379,3.254,1.123
2025-09-02 14:00:00,SC01,L1,E01,4.019,2.676,1.031
2025-09-02 15:00:00,SC01,L1,E01,3.653,4.768,0.937
2025-09-02 16:00:00,SC01,L1,E01,5.332,7.103,1.368
2025-09-02 17:00:00,SC01,L1,E01,4.381,3.597,1.124
2025-09-02 18:00:00,SC01,L1,E01,4.752,4.285,1.219
2025-09-02 19:00:00,SC01,L1,E01,3.775,4.259,0.968
2025-09-02 20:00:00,SC01,L1,E01,3.255,2.812,0.835
2025-09-02 21:00:00,SC01,L1,E01,3.927,5.112,1.007
2025-09-02 22:00:00,SC01,L1,E01,4.005,2.748,1.027
2025-09-02 23:00:00,SC01,L1,E01,4.401,2.774,1.129
2025-09-03 00:00:00,SC01,L1,E01,3.657,2.804,0.938
2025-09-03 01:00:00,SC01,L1,E01,4.267,3.537,1.095
2025-09-03 02:00:00,SC01,L1,E01,5.189,3.582,1.331
2025-09-03 03:00:00,SC01,L1,E01,2.909,1.898,0.746
2025-09-03 04:00:00,SC01,L1,E01,2.554,3.076,0.655
2025-09-03 05:00:00,SC01,L1,E01,5.244,3.836,1.345
2025-09-03 06:00:00,SC01,L1,E01,3.076,4.095,0.789
2025-09-03 07:00:00,SC01,L1,E01,3.943,3.527,1.012
2025-09-03 08:00:00,SC01,L1,E01,4.734,5.38,1.214
2025-09-03 09:00:00,SC01,L1,E01,4.2,3.277,1.077
2025-09-03 10:00:00,SC01,L1,E01,4.189,3.318,1.075
2025-09-03 11:00:00,SC01,L1,E01,4.305,4.562,1.104
2025-09-03 12:00:00,SC01,L1,E01,6.262,6.566,1.607
2025-09-03 13:00:00,SC01,L1,E01,5.672,6.891,1.455
2025-09-03 14:00:00,SC01,L1,E01,3.692,4.454,0.947
2025-09-03 15:00:00,SC01,L1,E01,5.088,5.783,1.305
2025-09-03 16:00:00,SC01,L1,E01,4.652,4.462,1.193
2025-09-03 17:00:00,SC01,L1,E01,4.232,5.554,1.086
2025-09-03 18:00:00,SC01,L1,E01,3.521,3.866,0.903
2025-09-03 19:00:00,SC01,L1,E01,4.608,6.416,1.182
2025-09-03 20:00:00,SC01,L1,E01,4.002,5.025,1.027
2025-09-03 21:00:00,SC01,L1,E01,3.944,2.506,1.012
2025-09-03 22:00:00,SC01,L1,E01,3.634,3.112,0.932
2025-09-03 23:00:00,SC01,L1,E01,14.01,14.815,3.594
2025-09-04 00:00:00,SC01,L1,E01,3.633,4.277,0.932
2025-09-04 01:00:00,SC01,L1,E01,3.638,3.784,0.933
2025-09-04 02:00:00,SC01,L1,E01,4.87,5.984,1.249
2025-09-04 03:00:00,SC01,L1,E01,4.132,3.413,1.06
2025-09-04 04:00:00,SC01,L1,E01,4.153,3.103,1.066
2025-09-04 05:00:00,SC01,L1,E01,5.074,3.263,1.302
2025-09-04 06:00:00,SC01,L1,E01,5.298,5.609,1.359
2025-09-04 07:00:00,SC01,L1,E01,2.545,2.929,0.653
2025-09-04 08:00:00,SC01,L1,E01,4.144,3.568,1.063
2025-09-04 09:00:00,SC01,L1,E01,3.119,3.402,0.8
2025-09-04 10:00:00,SC01,L1,E01,3.938,2.527,1.01
2025-09-04 11:00:00,SC01,L1,E01,4.242,2.882,1.088
2025-09-04 12:00:00,SC01,L1,E01,3.963,4.603,1.017
