ref_month,site_code,cost_center,account_code,account_name,amount_br,amount_fx,fx_rate
2024-01-01,SC01,CC01,ELEC,Energia,203631.46,32671.99,6.2326
2024-01-01,SC01,CC01,GAS,Gás,138177.21,22170.08,6.2326
2024-01-01,SC01,CC01,WATR,Água,321762.14,51625.67,6.2326
2024-01-01,SC01,CC01,MNTC,Manutenção,185975.41,29839.14,6.2326
2024-01-01,SC01,CC01,LABR,Mão de obra,212368.32,34073.79,6.2326
2024-01-01,SC01,CC01,PACK,Embalagens,86276.61,13842.8,6.2326
2024-01-01,SC01,CC01,MATL,Matéria-prima,156871.21,25169.47,6.2326
2024-01-01,SC01,CC01,LOGS,Logística,158675.87,25459.02,6.2326
2024-01-01,SC01,CC01,DEPR,Depreciação,198977.14,31925.22,6.2326
2024-01-01,SC01,CC01,OTHR,Outros,168524.43,27039.19,6.2326
2024-01-01,SC01,CC02,ELEC,Energia,183544.41,29449.09,6.2326
2024-01-01,SC01,CC02,GAS,Gás,169677.3,27224.16,6.2326
2024-01-01,SC01,CC02,WATR,Água,233413.73,37450.46,6.2326
2024-01-01,SC01,CC02,MNTC,Manutenção,144537.88,23190.63,6.2326
2024-01-01,SC01,CC02,LABR,Mão de obra,90494.03,14519.47,6.2326
2024-01-01,SC01,CC02,PACK,Embalagens,238547.32,38274.13,6.2326
2024-01-01,SC01,CC02,MATL,Matéria-prima,87798.62,14087.0,6.2326
2024-01-01,SC01,CC02,LOGS,Logística,181115.03,29059.31,6.2326
2024-01-01,SC01,CC02,DEPR,Depreciação,183659.67,29467.59,6.2326
2024-01-01,SC01,CC02,OTHR,Outros,310716.52,49853.44,6.2326
2024-01-01,SC01,CC03,ELEC,Energia,112609.37,18067.8,6.2326
2024-01-01,SC01,CC03,GAS,Gás,252892.74,40575.8,6.2326
2024-01-01,SC01,CC03,WATR,Água,188639.74,30266.62,6.2326
2024-01-01,SC01,CC03,MNTC,Manutenção,81631.36,13097.48,6.2326
2024-01-01,SC01,CC03,LABR,Mão de obra,174262.2,27959.79,6.2326
2024-01-01,SC01,CC03,PACK,Embalagens,134583.76,21593.52,6.2326
2024-01-01,SC01,CC03,MATL,Matéria-prima,218063.16,34987.51,6.2326
2024-01-01,SC01,CC03,LOGS,Logística,232668.41,37330.88,6.2326
2024-01-01,SC01,CC03,DEPR,Depreciação,77493.99,12433.65,6.2326
2024-01-01,SC01,CC03,OTHR,Outros,216615.1,34755.18,6.2326
2024-01-01,SC01,CC04,ELEC,Energia,107617.7,17266.9,6.2326
2024-01-01,SC01,CC04,GAS,Gás,164598.37,26409.26,6.2326
2024-01-01,SC01,CC04,WATR,Água,201014.42,32252.1,6.2326
2024-01-01,SC01,CC04,MNTC,Manutenção,246361.34,39527.86,6.2326
2024-01-01,SC01,CC04,LABR,Mão de obra,264511.24,42439.95,6.2326
2024-01-01,SC01,CC04,PACK,Embalagens,158508.25,25432.12,6.2326
2024-01-01,SC01,CC04,MATL,Matéria-prima,328729.71,52743.59,6.2326
2024-01-01,SC01,CC04,LOGS,Logística,81653.75,13101.07,6.2326
2024-01-01,SC01,CC04,DEPR,Depreciação,192931.16,30955.17,6.2326
2024-01-01,SC01,CC04,OTHR,Outros,164170.22,26340.57,6.2326
2024-01-01,SC01,CC05,ELEC,Energia,191479.43,30722.24,6.2326
2024-01-01,SC01,CC05,GAS,Gás,122712.06,19688.74,6.2326
2024-01-01,SC01,CC05,WATR,Água,251361.45,40330.11,6.2326
2024-01-01,SC01,CC05,MNTC,Manutenção,162126.05,26012.59,6.2326
2024-01-01,SC01,CC05,LABR,Mão de obra,88044.71,14126.48,6.2326
2024-01-01,SC01,CC05,PACK,Embalagens,128458.55,20610.75,6.2326
2024-01-01,SC01,CC05,MATL,Matéria-prima,207570.87,33304.06,6.2326
2024-01-01,SC01,CC05,LOGS,Logística,111851.38,17946.18,6.2326
2024-01-01,SC01,CC05,DEPR,Depreciação,125754.23,20176.85,6.2326
2024-01-01,SC01,CC05,OTHR,Outros,232133.76,37245.1,6.2326
2024-01-01,SC02,CC01,ELEC,Energia,200252.52,32129.85,6.2326
2024-01-01,SC02,CC01,GAS,Gás,63646.34,10211.84,6.2326
2024-01-01,SC02,CC01,WATR,Água,132701.78,21291.56,6.2326
2024-01-01,SC02,CC01,MNTC,Manutenção,117398.87,18836.26,6.2326
2024-01-01,SC02,CC01,LABR,Mão de obra,51673.86,8290.9,6.2326
2024-01-01,SC02,CC01,PACK,Embalagens,272667.62,43748.62,6.2326
2024-01-01,SC02,CC01,MATL,Matéria-prima,150278.7,24111.72,6.2326
2024-01-01,SC02,CC01,LOGS,Logística,138355.04,22198.61,6.2326
2024-01-01,SC02,CC01,DEPR,Depreciação,256061.34,41084.2,6.2326
2024-01-01,SC02,CC01,OTHR,Outros,101702.97,16317.91,6.2326
2024-01-01,SC02,CC02,ELEC,Energia,178549.52,28647.68,6.2326
2024-01-01,SC02,CC02,GAS,Gás,71744.97,11511.24,6.2326
2024-01-01,SC02,CC02,WATR,Água,123822.99,19866.99,6.2326
2024-01-01,SC02,CC02,MNTC,Manutenção,305151.69,48960.58,6.2326
2024-01-01,SC02,CC02,LABR,Mão de obra,182229.7,29238.15,6.2326
2024-01-01,SC02,CC02,PACK,Embalagens,67419.79,10817.28,6.2326
2024-01-01,SC02,CC02,MATL,Matéria-prima,117764.48,18894.92,6.2326
2024-01-01,SC02,CC02,LOGS,Logística,185439.85,29753.21,6.2326
2024-01-01,SC02,CC02,DEPR,Depreciação,171286.29,27482.32,6.2326
2024-01-01,SC02,CC02,OTHR,Outros,50003.42,8022.88,6.2326
2024-01-01,SC02,CC03,ELEC,Energia,297961.17,47806.89,6.2326
2024-01-01,SC02,CC03,GAS,Gás,187403.82,30068.32,6.2326
2024-01-01,SC02,CC03,WATR,Água,181730.49,29158.06,6.2326
2024-01-01,SC02,CC03,MNTC,Manutenção,160808.83,25801.25,6.2326
2024-01-01,SC02,CC03,LABR,Mão de obra,198156.09,31793.49,6.2326
2024-01-01,SC02,CC03,PACK,Embalagens,58691.45,9416.85,6.2326
2024-01-01,SC02,CC03,MATL,Matéria-prima,257383.66,41296.36,6.2326
2024-01-01,SC02,CC03,LOGS,Logística,90423.56,14508.16,6.2326
2024-01-01,SC02,CC03,DEPR,Depreciação,252227.68,40469.1,6.2326
2024-01-01,SC02,CC03,OTHR,Outros,73847.86,11848.65,6.2326
2024-01-01,SC02,CC04,ELEC,Energia,258156.96,41420.43,6.2326
2024-01-01,SC02,CC04,GAS,Gás,222964.15,35773.86,6.2326
2024-01-01,SC02,CC04,WATR,Água,238921.13,38334.11,6.2326
2024-01-01,SC02,CC04,MNTC,Manutenção,201707.02,32363.22,6.2326
2024-01-01,SC02,CC04,LABR,Mão de obra,82046.07,13164.02,6.2326
2024-01-01,SC02,CC04,PACK,Embalagens,61075.77,9799.41,6.2326
2024-01-01,SC02,CC04,MATL,Matéria-prima,237779.1,38150.87,6.2326
2024-01-01,SC02,CC04,LOGS,Logística,211394.02,33917.47,6.2326
2024-01-01,SC02,CC04,DEPR,Depreciação,138074.75,22153.64,6.2326
2024-01-01,SC02,CC04,OTHR,Outros,207482.01,33289.8,6.2326
2024-01-01,SC02,CC05,ELEC,Energia,175604.78,28175.21,6.2326
2024-01-01,SC02,CC05,GAS,Gás,155147.8,24892.95,6.2326
2024-01-01,SC02,CC05,WATR,Água,173328.25,27809.94,6.2326
2024-01-01,SC02,CC05,MNTC,Manutenção,148091.67,23760.82,6.2326
2024-01-01,SC02,CC05,LABR,Mão de obra,195439.31,31357.59,6.2326
2024-01-01,SC02,CC05,PACK,Embalagens,282473.35,45321.91,6.2326
2024-01-01,SC02,CC05,MATL,Matéria-prima,242510.33,38909.98,6.2326
2024-01-01,SC02,CC05,LOGS,Logística,95286.32,15288.38,6.2326
2024-01-01,SC02,CC05,DEPR,Depreciação,131895.34,21162.17,6.2326
2024-01-01,SC02,CC05,OTHR,Outros,301890.76,48437.37,6.2326
2024-01-01,SC03,CC01,ELEC,Energia,258203.87,41427.96,6.2326
2024-01-01,SC03,CC01,GAS,Gás,151574.2,24319.58,6.2326
2024-01-01,SC03,CC01,WATR,Água,130979.38,21015.21,6.2326
2024-01-01,SC03,CC01,MNTC,Manutenção,150071.5,24078.48,6.2326
2024-01-01,SC03,CC01,LABR,Mão de obra,167635.19,26896.51,6.2326
2024-01-01,SC03,CC01,PACK,Embalagens,274871.74,44102.26,6.2326
2024-01-01,SC03,CC01,MATL,Matéria-prima,268940.21,43150.57,6.2326
2024-01-01,SC03,CC01,LOGS,Logística,195137.86,31309.22,6.2326
2024-01-01,SC03,CC01,DEPR,Depreciação,166799.51,26762.43,6.2326
2024-01-01,SC03,CC01,OTHR,Outros,179196.84,28751.54,6.2326
2024-01-01,SC03,CC02,ELEC,Energia,163745.59,26272.44,6.2326
2024-01-01,SC03,CC02,GAS,Gás,60582.21,9720.22,6.2326
2024-01-01,SC03,CC02,WATR,Água,274532.35,44047.81,6.2326
2024-01-01,SC03,CC02,MNTC,Manutenção,142645.81,22887.05,6.2326
2024-01-01,SC03,CC02,LABR,Mão de obra,177349.13,28455.08,6.2326
2024-01-01,SC03,CC02,PACK,Embalagens,208715.82,33487.76,6.2326
2024-01-01,SC03,CC02,MATL,Matéria-prima,259518.93,41638.95,6.2326
2024-01-01,SC03,CC02,LOGS,Logística,48109.36,7718.99,6.2326
2024-01-01,SC03,CC02,DEPR,Depreciação,118978.09,19089.64,6.2326
2024-01-01,SC03,CC02,OTHR,Outros,252075.86,40444.74,6.2326
2024-01-01,SC03,CC03,ELEC,Energia,158580.71,25443.75,6.2326
2024-01-01,SC03,CC03,GAS,Gás,188306.44,30213.15,6.2326
2024-01-01,SC03,CC03,WATR,Água,107530.66,17252.94,6.2326
2024-01-01,SC03,CC03,MNTC,Manutenção,267572.41,42931.11,6.2326
2024-01-01,SC03,CC03,LABR,Mão de obra,145242.46,23303.67,6.2326
2024-01-01,SC03,CC03,PACK,Embalagens,101551.1,16293.54,6.2326
2024-01-01,SC03,CC03,MATL,Matéria-prima,126087.56,20230.33,6.2326
2024-01-01,SC03,CC03,LOGS,Logística,178944.8,28711.1,6.2326
2024-01-01,SC03,CC03,DEPR,Depreciação,102364.79,16424.09,6.2326
2024-01-01,SC03,CC03,OTHR,Outros,339411.81,54457.5,6.2326
2024-01-01,SC03,CC04,ELEC,Energia,271562.5,43571.31,6.2326
2024-01-01,SC03,CC04,GAS,Gás,241999.43,38828.01,6.2326
2024-01-01,SC03,CC04,WATR,Água,192841.75,30940.82,6.2326
2024-01-01,SC03,CC04,MNTC,Manutenção,135679.66,21769.35,6.2326
2024-01-01,SC03,CC04,LABR,Mão de obra,77773.94,12478.57,6.2326
2024-01-01,SC03,CC04,PACK,Embalagens,137959.48,22135.14,6.2326
2024-01-01,SC03,CC04,MATL,Matéria-prima,148035.39,23751.79,6.2326
2024-01-01,SC03,CC04,LOGS,Logística,112029.58,17974.78,6.2326
2024-01-01,SC03,CC04,DEPR,Depreciação,272249.18,43681.48,6.2326
2024-01-01,SC03,CC04,OTHR,Outros,125910.16,20201.87,6.2326
