date,site_code,line_code,product_code,units_ok,units_rework,scrap_units,takt_time_s,oee
2025-07-01,SC01,L1,FRDG-A,265,1,5,36.38,0.872
2025-07-02,SC01,L1,FRDG-A,236,1,2,54.57,0.901
2025-07-03,SC01,L1,FRDG-A,210,1,3,26.64,0.784
2025-07-04,SC01,L1,FRDG-A,236,0,3,40.78,0.965
2025-07-05,SC01,L1,FRDG-A,165,2,3,39.16,0.7
2025-07-06,SC01,L1,FRDG-A,128,0,1,34.61,0.723
2025-07-07,SC01,L1,FRDG-A,239,1,3,38.3,0.898
2025-07-08,SC01,L1,FRDG-A,212,1,4,55.52,0.869
2025-07-09,SC01,L1,FRDG-A,219,1,8,36.58,0.937
2025-07-10,SC01,L1,FRDG-A,214,3,8,36.51,0.841
2025-07-11,SC01,L1,FRDG-A,222,0,6,34.05,0.668
2025-07-12,SC01,L1,FRDG-A,148,2,5,33.92,0.615
2025-07-13,SC01,L1,FRDG-A,117,1,8,36.57,0.716
2025-07-14,SC01,L1,FRDG-A,247,3,3,57.82,0.809
2025-07-15,SC01,L1,FRDG-A,213,0,5,50.75,0.779
2025-07-16,SC01,L1,FRDG-A,253,1,6,35.01,0.761
2025-07-17,SC01,L1,FRDG-A,268,3,6,25.9,0.844
2025-07-18,SC01,L1,FRDG-A,243,2,5,35.11,0.797
2025-07-19,SC01,L1,FRDG-A,164,1,6,27.83,0.654
2025-07-20,SC01,L1,FRDG-A,202,0,3,24.69,0.701
2025-07-21,SC01,L1,FRDG-A,209,3,5,59.88,0.897
2025-07-22,SC01,L1,FRDG-A,226,1,7,39.98,0.936
2025-07-23,SC01,L1,FRDG-A,260,2,2,32.89,0.767
2025-07-24,SC01,L1,FRDG-A,229,2,6,37.75,0.648
2025-07-25,SC01,L1,FRDG-A,212,0,5,52.2,0.883
2025-07-26,SC01,L1,FRDG-A,163,0,6,55.58,0.737
2025-07-27,SC01,L1,FRDG-A,158,1,2,37.34,0.764
2025-07-28,SC01,L1,FRDG-A,259,1,9,40.59,0.781
2025-07-29,SC01,L1,FRDG-A,251,2,4,37.12,0.786
2025-07-30,SC01,L1,FRDG-A,218,3,5,20.73,0.8
2025-07-31,SC01,L1,FRDG-A,248,0,5,32.59,0.918
2025-08-01,SC01,L1,FRDG-A,203,1,3,40.42,0.781
2025-08-02,SC01,L1,FRDG-A,170,0,4,56.3,0.783
2025-08-03,SC01,L1,FRDG-A,217,0,3,31.47,0.786
2025-08-04,SC01,L1,FRDG-A,217,0,6,44.71,0.8
2025-08-05,SC01,L1,FRDG-A,218,3,2,47.6,0.801
2025-08-06,SC01,L1,FRDG-A,236,1,3,32.59,0.904
2025-08-07,SC01,L1,FRDG-A,230,0,3,23.61,0.866
2025-08-08,SC01,L1,FRDG-A,256,2,6,57.68,0.826
2025-08-09,SC01,L1,FRDG-A,191,0,0,38.64,0.666
2025-08-10,SC01,L1,FRDG-A,173,0,10,27.68,0.706
2025-08-11,SC01,L1,FRDG-A,227,0,5,42.33,0.789
2025-08-12,SC01,L1,FRDG-A,242,3,2,48.65,0.772
2025-08-13,SC01,L1,FRDG-A,206,1,4,57.2,0.7
2025-08-14,SC01,L1,FRDG-A,249,2,2,43.93,0.719
2025-08-15,SC01,L1,FRDG-A,239,0,13,55.25,0.72
2025-08-16,SC01,L1,FRDG-A,160,1,3,56.66,0.612
2025-08-17,SC01,L1,FRDG-A,135,0,3,53.39,0.642
2025-08-18,SC01,L1,FRDG-A,242,1,0,32.45,0.842
2025-08-19,SC01,L1,FRDG-A,216,0,1,33.82,0.875
2025-08-20,SC01,L1,FRDG-A,224,1,2,22.71,0.795
2025-08-21,SC01,L1,FRDG-A,220,2,4,47.9,0.82
2025-08-22,SC01,L1,FRDG-A,224,0,3,51.36,0.93
2025-08-23,SC01,L1,FRDG-A,176,2,3,30.33,0.807
2025-08-24,SC01,L1,FRDG-A,151,0,7,40.91,0.525
2025-08-25,SC01,L1,FRDG-A,195,1,2,21.85,0.958
2025-08-26,SC01,L1,FRDG-A,204,1,5,34.9,0.85
2025-08-27,SC01,L1,FRDG-A,205,0,2,37.25,0.844
2025-08-28,SC01,L1,FRDG-A,257,0,5,28.22,0.801
2025-08-29,SC01,L1,FRDG-A,204,1,2,34.38,0.724
2025-08-30,SC01,L1,FRDG-A,160,1,8,56.56,0.761
2025-08-31,SC01,L1,FRDG-A,149,2,4,27.78,0.759
2025-09-01,SC01,L1,FRDG-A,220,3,3,50.58,0.773
2025-09-02,SC01,L1,FRDG-A,222,1,1,41.79,0.75
2025-09-03,SC01,L1,FRDG-A,193,2,4,22.16,0.915
2025-09-04,SC01,L1,FRDG-A,242,1,1,53.74,0.819
2025-09-05,SC01,L1,FRDG-A,262,2,6,21.75,0.897
2025-09-06,SC01,L1,FRDG-A,199,0,6,58.25,0.724
2025-09-07,SC01,L1,FRDG-A,179,1,2,55.3,0.73
2025-09-08,SC01,L1,FRDG-A,199,0,4,29.83,0.842
2025-09-09,SC01,L1,FRDG-A,245,1,4,42.17,0.861
2025-09-10,SC01,L1,FRDG-A,221,1,7,20.96,0.825
2025-09-11,SC01,L1,FRDG-A,246,1,1,21.01,0.828
2025-09-12,SC01,L1,FRDG-A,182,0,5,54.3,0.748
2025-09-13,SC01,L1,FRDG-A,178,1,4,20.9,0.844
2025-09-14,SC01,L1,FRDG-A,147,2,3,21.59,0.581
2025-09-15,SC01,L1,FRDG-A,239,0,2,57.56,0.931
2025-09-16,SC01,L1,FRDG-A,197,1,1,37.07,0.812
2025-09-17,SC01,L1,FRDG-A,227,0,4,59.69,0.789
2025-09-18,SC01,L1,FRDG-A,233,2,4,44.68,0.735
2025-09-19,SC01,L1,FRDG-A,260,1,6,37.51,0.816
2025-09-20,SC01,L1,FRDG-A,167,0,2,54.61,0.754
2025-09-21,SC01,L1,FRDG-A,185,0,5,33.05,0.748
2025-09-22,SC01,L1,FRDG-A,194,1,2,57.47,0.912
2025-09-23,SC01,L1,FRDG-A,189,0,5,52.89,0.791
2025-09-24,SC01,L1,FRDG-A,287,1,4,41.31,0.816
2025-09-25,SC01,L1,FRDG-A,185,1,1,52.7,0.896
2025-09-26,SC01,L1,FRDG-A,187,0,6,50.19,0.848
2025-09-27,SC01,L1,FRDG-A,179,0,4,36.07,0.592
2025-09-28,SC01,L1,FRDG-A,189,0,3,58.11,0.763
2025-09-29,SC01,L1,FRDG-A,228,1,3,54.16,0.797
2025-09-30,SC01,L1,FRDG-A,221,1,7,52.71,0.75
2025-07-01,SC01,L1,FRDG-B,208,0,6,38.18,0.842
2025-07-02,SC01,L1,FRDG-B,166,0,5,23.58,0.926
2025-07-03,SC01,L1,FRDG-B,207,2,6,33.8,0.807
2025-07-04,SC01,L1,FRDG-B,218,1,4,28.63,0.81
2025-07-05,SC01,L1,FRDG-B,104,0,7,56.29,0.74
2025-07-06,SC01,L1,FRDG-B,142,0,10,29.08,0.718
2025-07-07,SC01,L1,FRDG-B,219,1,2,46.36,0.936
2025-07-08,SC01,L1,FRDG-B,207,2,4,48.82,0.837
2025-07-09,SC01,L1,FRDG-B,236,1,5,38.0,0.828
2025-07-10,SC01,L1,FRDG-B,178,1,5,43.99,0.739
2025-07-11,SC01,L1,FRDG-B,227,0,4,25.5,0.734
2025-07-12,SC01,L1,FRDG-B,175,1,6,38.9,0.714
2025-07-13,SC01,L1,FRDG-B,162,3,3,28.27,0.679
2025-07-14,SC01,L1,FRDG-B,214,0,4,54.67,0.8
2025-07-15,SC01,L1,FRDG-B,236,1,8,50.33,0.848
2025-07-16,SC01,L1,FRDG-B,195,0,5,44.83,0.8
2025-07-17,SC01,L1,FRDG-B,240,2,3,44.15,0.893
2025-07-18,SC01,L1,FRDG-B,202,1,2,28.23,0.821
2025-07-19,SC01,L1,FRDG-B,148,1,4,39.52,0.676
2025-07-20,SC01,L1,FRDG-B,127,0,3,21.29,0.812
2025-07-21,SC01,L1,FRDG-B,215,3,4,59.9,0.77
2025-07-22,SC01,L1,FRDG-B,218,1,5,52.47,0.871
2025-07-23,SC01,L1,FRDG-B,211,1,2,21.57,0.86
2025-07-24,SC01,L1,FRDG-B,193,2,7,57.76,0.878
2025-07-25,SC01,L1,FRDG-B,204,0,5,53.14,0.764
2025-07-26,SC01,L1,FRDG-B,170,2,6,32.06,0.611
2025-07-27,SC01,L1,FRDG-B,142,0,5,29.11,0.77
2025-07-28,SC01,L1,FRDG-B,244,1,10,54.7,0.901
2025-07-29,SC01,L1,FRDG-B,234,0,6,42.78,0.735
2025-07-30,SC01,L1,FRDG-B,200,0,2,22.34,0.905
2025-07-31,SC01,L1,FRDG-B,215,0,8,41.37,0.836
2025-08-01,SC01,L1,FRDG-B,236,0,6,22.32,0.729
2025-08-02,SC01,L1,FRDG-B,161,1,7,26.5,0.763
2025-08-03,SC01,L1,FRDG-B,167,1,5,33.75,0.807
2025-08-04,SC01,L1,FRDG-B,177,1,2,52.63,0.72
2025-08-05,SC01,L1,FRDG-B,271,3,6,57.07,0.735
2025-08-06,SC01,L1,FRDG-B,183,0,2,28.1,0.887
2025-08-07,SC01,L1,FRDG-B,262,1,3,59.81,0.809
2025-08-08,SC01,L1,FRDG-B,221,1,6,24.51,0.76
2025-08-09,SC01,L1,FRDG-B,126,3,5,48.82,0.569
2025-08-10,SC01,L1,FRDG-B,142,1,3,45.96,0.682
2025-08-11,SC01,L1,FRDG-B,228,1,4,27.28,0.813
2025-08-12,SC01,L1,FRDG-B,225,1,3,45.01,0.816
2025-08-13,SC01,L1,FRDG-B,192,1,2,48.82,0.897
2025-08-14,SC01,L1,FRDG-B,220,2,3,29.29,0.785
2025-08-15,SC01,L1,FRDG-B,213,1,6,35.4,0.752
2025-08-16,SC01,L1,FRDG-B,143,0,3,59.36,0.603
2025-08-17,SC01,L1,FRDG-B,132,1,10,37.52,0.626
2025-08-18,SC01,L1,FRDG-B,242,2,3,46.15,0.86
2025-08-19,SC01,L1,FRDG-B,199,2,3,21.67,0.771
2025-08-20,SC01,L1,FRDG-B,195,0,7,50.68,0.805
2025-08-21,SC01,L1,FRDG-B,196,2,5,56.5,0.872
2025-08-22,SC01,L1,FRDG-B,205,1,2,52.74,0.883
2025-08-23,SC01,L1,FRDG-B,151,1,4,26.14,0.795
2025-08-24,SC01,L1,FRDG-B,98,1,5,29.57,0.68
2025-08-25,SC01,L1,FRDG-B,193,3,3,54.24,0.881
2025-08-26,SC01,L1,FRDG-B,229,2,8,56.25,0.782
2025-08-27,SC01,L1,FRDG-B,234,2,6,40.64,0.82
2025-08-28,SC01,L1,FRDG-B,216,0,6,26.46,0.805
2025-08-29,SC01,L1,FRDG-B,226,2,5,53.14,0.783
2025-08-30,SC01,L1,FRDG-B,182,1,6,51.36,0.665
2025-08-31,SC01,L1,FRDG-B,137,1,7,49.21,0.601
2025-09-01,SC01,L1,FRDG-B,222,1,0,36.07,0.801
2025-09-02,SC01,L1,FRDG-B,201,0,9,41.84,0.853
2025-09-03,SC01,L1,FRDG-B,238,1,5,47.58,0.753
2025-09-04,SC01,L1,FRDG-B,209,2,0,23.45,0.862
